个体ID,rho_initial,rho_final,rho_change,rho_change_pct,tau_initial,tau_final,tau_change,tau_change_pct,reward_initial,reward_final,reward_change,reward_change_pct
0,0.0314901424590337,0.03577219977603408,0.004282057317000383,13.598088108273936,0.9746560454368592,0.8527336120605469,-0.12192243337631237,-12.509277908563574,2.363555192947388,2.495229482650757,0.1316742897033687,5.57102665071125
1,0.02958520709648645,0.03227455570165802,0.0026893486051715702,9.09018009034305,0.9859942197799684,0.9034470915794371,-0.08254712820053123,-8.37196877472083,2.370590448379517,2.499545574188232,0.12895512580871493,5.439789310585715
2,0.03194306561430207,0.03386449068182353,0.001921425067521465,6.01515549797817,0.9838505387306212,0.86797696352005,-0.11587357521057118,-11.777558749937059,2.371278762817383,2.502278804779053,0.13100004196167037,5.524447147075426
3,0.03456908956922407,0.03339525320367329,-0.0011738363655507747,-3.39562418385415,0.9915125966072084,0.8876804709434509,-0.10383212566375744,-10.472093447834526,2.375332355499268,2.509214878082275,0.13388252258300692,5.636370096717111
4,0.02929753987582999,0.03757422003821488,0.008276680162384892,28.250427160312608,1.00444507598877,0.8936742544174194,-0.11077082157135054,-11.02806158537921,2.364227771759033,2.500035762786865,0.1358079910278316,5.744285413193826
5,0.02929758912915246,0.03376097005305582,0.0044633809239033595,15.23463553341353,0.946134626865387,0.8350314497947693,-0.11110317707061768,-11.742850744054321,2.386195421218872,2.504841327667236,0.11864590644836381,4.9721789503627205
6,0.03473763844652217,0.03649456575346186,0.0017569273069396943,5.05770508736351,0.9481008052825928,0.8856767416000366,-0.06242406368255615,-6.584116724165202,2.360100507736206,2.505054950714112,0.14495444297790616,6.14187584396334
7,0.03230230418745873,0.04103059774271596,0.008728293555257227,27.020653092128207,0.9567629098892212,0.8847016096115112,-0.07206130027770996,-7.531782381285409,2.364992380142212,2.499908208847046,0.13491582870483398,5.704704583306997
8,0.02859157684219514,0.03878858463355297,0.010197007791357827,35.66437712630523,0.970864474773407,0.9185653328895568,-0.05229914188385021,-5.386863279352813,2.366085529327393,2.495660781860352,0.12957525253295898,5.476355394886901
9,0.0316276801307579,0.0336823554293971,0.0020546752986391956,6.496446435984487,0.977889895439148,0.850246012210846,-0.127643883228302,-13.052991325877242,2.360929012298584,2.498543739318848,0.13761472702026412,5.8288379829888814
10,0.02860974692156261,0.03396068632103405,0.005350939399471441,18.703204240644794,0.9532501697540284,0.8645296096801758,-0.08872056007385265,-9.30716436134972,2.377285957336426,2.495619297027588,0.11833333969116211,4.977665363562149
11,0.02860281073928923,0.03636595897867174,0.007763148239382508,27.141207590199993,0.9675545692443848,0.8847085237503052,-0.08284604549407959,-8.562415818962904,2.366546392440796,2.506635904312134,0.1400895118713379,5.9195759829095564
12,0.0307258868146981,0.02999401187895911,-0.0007318749357389902,-2.381948941466806,0.9530924558639526,0.8796141743659973,-0.07347828149795532,-7.709459984272904,2.360933542251587,2.507025241851806,0.14609169960021928,6.187878522869975
13,0.02426015926602661,0.03241374351497057,0.008153584248943958,33.608947738286524,0.969123601913452,0.9111055135726928,-0.05801808834075928,-5.986655182703992,2.371713638305664,2.498462438583374,0.12674880027770996,5.344186508463071
14,0.0248252465024609,0.03647873254437123,0.011653486041910327,46.94207584506816,0.9940956830978394,0.8621466159820557,-0.1319490671157837,-13.273276341428112,2.390391826629639,2.501896858215332,0.11150503158569292,4.66471773972348
